CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
28257,33,Male,19,13,5,14,Basic,Quarterly,428,6,0
34183,21,Female,9,12,4,10,Basic,Annual,463,11,0
14372,43,Male,20,18,2,15,Premium,Annual,658,14,0
22769,24,Female,30,12,5,7,Standard,Quarterly,375,6,0
25933,29,Female,5,2,0,0,Basic,Monthly,372,22,1
39176,62,Male,33,28,7,26,Premium,Annual,202,17,1
24302,53,Female,40,2,9,9,Standard,Annual,155,5,1
26929,60,Male,55,10,6,27,Basic,Quarterly,165,23,1
56642,22,Female,7,10,3,25,Premium,Monthly,846,14,1
21839,35,Male,6,5,0,3,Basic,Quarterly,278,15,0
37796,31,Female,21,14,4,29,Basic,Annual,743,3,0
14089,55,Female,25,17,9,20,Basic,Quarterly,465,23,1
10257,57,Female,11,1,3,8,Basic,Quarterly,501,16,0
8523,61,Female,7,22,7,21,Premium,Annual,456,28,1
35016,57,Male,52,5,0,19,Premium,Quarterly,146,26,0
63441,32,Female,38,12,5,21,Premium,Quarterly,663,2,1
15896,53,Male,2,16,10,5,Basic,Monthly,882,16,0
15032,21,Female,29,16,7,29,Standard,Monthly,729,17,1
34142,27,Female,2,2,10,5,Standard,Monthly,556,27,0
7853,62,Female,43,24,2,17,Premium,Annual,394,5,0
11870,59,Male,8,17,4,24,Standard,Quarterly,609,20,0
53401,47,Female,25,30,6,29,Standard,Monthly,425,1,1
4550,49,Female,28,3,9,5,Standard,Quarterly,565,2,0
51704,65,Male,51,26,6,23,Premium,Monthly,303,25,1
36640,37,Female,25,12,9,21,Standard,Annual,392,8,1
44375,23,Female,41,26,7,18,Standard,Annual,221,17,1
7689,27,Male,1,17,7,18,Basic,Quarterly,629,12,0
40913,46,Female,8,30,1,2,Basic,Quarterly,993,4,0
19667,65,Male,30,26,6,20,Basic,Monthly,237,5,1
45223,20,Female,2,19,9,1,Standard,Monthly,453,19,0
13240,34,Female,38,6,5,20,Standard,Monthly,254,11,1
4370,27,Female,46,18,10,28,Basic,Quarterly,177,27,1
55308,45,Female,27,16,10,30,Premium,Monthly,807,25,1
18729,30,Male,34,20,6,1,Premium,Monthly,817,5,0
7808,43,Female,58,11,9,22,Basic,Quarterly,960,20,1
44435,61,Male,36,2,10,21,Standard,Quarterly,132,29,1
12700,18,Male,48,30,8,27,Premium,Annual,239,24,1
1785,29,Male,12,14,0,8,Basic,Annual,389,30,0
38197,52,Female,27,20,0,20,Basic,Quarterly,713,11,0
56140,31,Male,25,24,9,27,Standard,Quarterly,139,24,1
46353,33,Male,39,3,5,30,Premium,Quarterly,804,24,1
55808,64,Female,14,22,1,29,Basic,Quarterly,203,30,1
819,54,Female,43,12,2,22,Premium,Quarterly,216,2,1
27710,63,Male,10,24,4,14,Standard,Quarterly,755,12,0
39063,27,Female,22,17,10,7,Standard,Quarterly,653,17,0
56079,41,Female,56,16,9,20,Basic,Annual,674,6,1
2513,65,Female,48,7,7,27,Basic,Annual,862,23,1
47552,61,Male,57,24,7,22,Premium,Quarterly,744,18,1
9638,29,Male,59,20,9,28,Standard,Monthly,826,24,1
31894,41,Male,17,21,2,5,Standard,Annual,897,22,0
16184,43,Male,53,15,1,25,Premium,Annual,373,18,0
16362,40,Male,9,28,4,13,Premium,Annual,968,6,0
32788,41,Male,24,22,1,3,Basic,Monthly,965,26,0
35726,43,Female,24,5,5,2,Standard,Monthly,733,1,0
28166,32,Female,42,24,8,24,Basic,Annual,609,26,1
47291,25,Male,51,2,6,18,Premium,Annual,859,5,1
25329,35,Female,46,2,5,0,Basic,Quarterly,990,5,0
30129,27,Male,32,9,8,14,Standard,Quarterly,412,23,0
8384,28,Male,41,17,6,29,Premium,Monthly,203,24,1
39980,27,Female,45,15,3,20,Standard,Quarterly,495,9,0
62614,52,Female,10,2,1,0,Premium,Annual,584,26,1
60088,41,Male,29,17,8,29,Basic,Monthly,239,30,1
20670,65,Male,42,10,9,22,Premium,Annual,746,19,1
3034,37,Male,15,10,5,10,Basic,Annual,263,26,0
9937,51,Male,51,8,0,19,Basic,Monthly,455,30,0
40621,29,Female,11,27,5,29,Basic,Monthly,191,8,1
28759,63,Male,22,9,10,21,Basic,Annual,572,3,0
28700,62,Female,45,8,5,15,Premium,Monthly,385,1,0
52095,32,Female,59,29,6,20,Premium,Monthly,538,1,1
9538,21,Male,8,20,1,23,Basic,Quarterly,301,7,0
11668,33,Female,10,17,10,2,Basic,Quarterly,324,26,0
40760,39,Female,47,27,6,4,Basic,Quarterly,552,8,0
3261,63,Male,30,25,0,9,Standard,Monthly,738,3,0
29823,18,Male,11,21,2,20,Basic,Annual,120,21,0
15919,38,Female,5,14,10,22,Premium,Monthly,398,10,1
53638,61,Female,52,3,6,16,Basic,Annual,667,14,1
4337,50,Female,36,21,9,30,Premium,Annual,662,25,1
4082,25,Male,51,10,1,0,Basic,Monthly,387,23,0
46115,34,Female,1,3,4,28,Standard,Annual,297,28,1
35244,30,Male,37,5,9,23,Basic,Monthly,609,8,1
43879,18,Female,43,18,9,26,Standard,Monthly,482,21,1
19770,18,Male,52,9,10,8,Premium,Monthly,500,1,0
29982,39,Female,44,13,5,0,Basic,Quarterly,331,8,0
61403,51,Female,4,21,1,22,Premium,Monthly,810,14,1
60852,36,Male,37,18,7,17,Basic,Annual,235,28,1
16577,38,Male,19,17,5,29,Standard,Annual,273,27,0
59088,63,Female,47,2,5,14,Basic,Quarterly,476,11,1
8126,22,Female,32,25,4,8,Premium,Annual,789,6,0
29195,41,Female,39,19,5,6,Standard,Monthly,643,5,0
25927,27,Male,19,2,1,30,Premium,Annual,951,10,0
2095,35,Female,16,30,9,28,Basic,Monthly,207,23,1
3590,52,Male,10,10,4,7,Basic,Annual,961,14,0
58690,56,Female,22,18,10,29,Basic,Monthly,962,10,1
31959,28,Male,52,15,2,20,Basic,Quarterly,291,19,0
1022,23,Female,26,28,1,1,Standard,Quarterly,921,10,0
34483,47,Female,49,14,10,24,Premium,Annual,210,6,1
19349,26,Male,53,7,1,22,Basic,Monthly,273,7,0
55387,37,Female,20,29,4,27,Premium,Monthly,316,20,1
5010,63,Male,44,24,9,10,Basic,Annual,458,28,0
33852,31,Female,22,28,1,1,Basic,Quarterly,820,21,0
48944,52,Female,37,17,9,28,Basic,Monthly,891,13,1
10215,53,Male,40,12,3,1,Standard,Annual,760,7,0
31112,44,Male,26,9,4,3,Basic,Monthly,845,11,0
18942,53,Male,58,8,2,1,Standard,Monthly,539,8,0
14135,37,Male,2,7,0,29,Basic,Quarterly,679,13,0
27197,37,Female,56,6,7,25,Premium,Annual,928,30,1
7936,58,Male,50,7,1,28,Premium,Annual,325,14,0
15866,60,Male,41,13,6,16,Standard,Monthly,974,18,1
45099,21,Male,4,15,6,16,Premium,Monthly,667,16,0
31497,61,Male,22,9,9,20,Basic,Monthly,623,20,0
26376,42,Male,11,7,3,9,Premium,Quarterly,390,13,0
58326,63,Female,34,2,8,11,Premium,Monthly,918,19,1
33025,45,Male,18,10,3,7,Standard,Annual,607,10,0
46667,48,Female,53,22,7,28,Standard,Quarterly,253,29,1
3138,56,Male,10,17,10,13,Premium,Annual,632,10,0
25169,50,Male,43,23,7,14,Standard,Quarterly,833,22,0
55861,41,Female,37,4,0,30,Basic,Monthly,912,17,1
25419,33,Female,17,1,0,7,Basic,Monthly,321,2,0
29452,47,Female,48,11,10,12,Basic,Monthly,439,21,0
61832,31,Female,38,7,5,18,Basic,Annual,802,2,1
7776,41,Male,42,30,1,6,Basic,Annual,469,9,0
41132,60,Male,43,30,10,2,Standard,Annual,756,5,0
47763,61,Female,31,7,7,21,Premium,Monthly,643,19,1
39191,42,Female,19,14,9,12,Premium,Annual,303,10,0
35990,52,Female,26,17,4,25,Premium,Quarterly,730,10,0
6018,27,Male,57,3,9,4,Basic,Annual,276,12,0
62014,43,Female,43,16,4,27,Premium,Annual,110,10,1
42433,55,Female,14,16,1,29,Standard,Quarterly,280,19,1
1706,48,Female,5,28,0,29,Basic,Monthly,215,14,1
12249,42,Female,17,21,6,30,Premium,Annual,890,26,0
36560,56,Male,51,19,4,13,Standard,Monthly,958,21,0
30210,26,Female,21,2,10,27,Basic,Monthly,462,2,1
35201,23,Female,9,1,0,18,Premium,Quarterly,762,27,0
58228,38,Male,48,3,6,16,Basic,Monthly,429,17,1
39125,42,Female,28,23,10,6,Basic,Annual,478,1,0
54664,64,Female,32,13,8,30,Basic,Monthly,200,3,1
23182,53,Female,52,20,1,19,Basic,Annual,411,26,0
32244,48,Male,30,1,10,19,Basic,Quarterly,721,15,1
21089,28,Female,38,12,6,13,Standard,Monthly,663,17,0
23214,65,Male,15,30,10,12,Standard,Quarterly,309,26,0
44289,24,Female,22,5,2,27,Basic,Annual,922,9,0
36301,24,Female,39,1,5,28,Standard,Quarterly,491,1,1
1891,53,Male,30,21,4,13,Standard,Monthly,183,7,0
63765,61,Female,8,3,8,27,Standard,Annual,858,20,1
2595,32,Female,16,29,10,28,Basic,Monthly,428,20,1
32845,32,Female,39,10,5,10,Basic,Annual,347,15,0
14147,25,Male,25,11,10,25,Basic,Annual,823,24,1
48287,26,Male,60,27,9,17,Premium,Annual,969,17,1
53785,28,Male,28,2,7,24,Premium,Monthly,510,16,1
21396,31,Female,51,11,2,7,Premium,Annual,675,15,0
17823,37,Female,12,17,3,30,Basic,Monthly,459,17,1
48937,37,Male,37,29,8,24,Premium,Monthly,508,22,1
42742,37,Female,3,9,5,29,Premium,Quarterly,721,22,0
59825,58,Male,47,29,9,18,Premium,Monthly,771,4,1
16877,51,Female,25,5,7,29,Basic,Quarterly,949,11,1
20862,54,Female,15,25,4,13,Basic,Quarterly,944,21,0
50003,26,Male,53,12,9,18,Standard,Monthly,345,24,1
32455,42,Female,38,25,3,14,Standard,Quarterly,413,2,0
49865,60,Male,56,24,8,20,Basic,Monthly,576,22,1
17980,57,Male,19,16,2,18,Premium,Quarterly,780,16,0
31813,59,Male,5,8,6,11,Premium,Monthly,913,5,0
37128,45,Female,19,2,1,28,Premium,Monthly,495,1,1
41036,60,Female,23,12,8,6,Basic,Quarterly,627,25,0
59332,48,Female,59,20,9,25,Basic,Quarterly,968,13,1
12019,42,Female,3,17,4,4,Standard,Annual,501,21,0
60520,39,Female,32,29,6,16,Premium,Annual,159,15,1
36970,59,Female,48,13,10,14,Premium,Annual,111,6,0
51969,63,Female,13,28,7,24,Standard,Quarterly,447,22,1
57084,33,Female,59,1,5,23,Premium,Monthly,881,3,1
50081,53,Female,34,29,3,30,Premium,Monthly,902,30,1
63405,42,Female,26,27,8,21,Premium,Annual,631,8,1
8251,61,Female,22,22,8,16,Premium,Monthly,525,1,0
44870,26,Female,6,29,10,15,Premium,Annual,778,3,0
7932,42,Male,49,7,6,16,Standard,Annual,233,11,1
56028,30,Male,37,26,9,16,Premium,Monthly,188,26,1
21218,61,Male,34,5,5,14,Basic,Monthly,286,30,1
37085,30,Female,48,18,9,8,Basic,Monthly,686,29,0
17332,26,Male,18,25,8,27,Premium,Quarterly,540,4,0
38305,32,Female,36,29,7,29,Standard,Annual,490,18,1
42598,45,Female,13,6,5,19,Premium,Quarterly,946,13,0
27819,53,Male,29,6,9,20,Standard,Quarterly,513,5,1
34932,34,Female,36,29,10,30,Premium,Monthly,444,6,1
28918,33,Male,55,30,8,20,Basic,Quarterly,794,19,1
10737,44,Male,14,2,4,16,Premium,Monthly,661,25,0
49001,58,Female,28,5,7,22,Premium,Monthly,433,15,1
58729,21,Male,33,12,10,24,Standard,Quarterly,341,6,1
47374,24,Female,30,21,6,17,Standard,Quarterly,636,1,1
21613,50,Female,30,24,0,28,Standard,Annual,476,24,1
31935,52,Female,28,1,1,4,Basic,Quarterly,948,28,0
38070,23,Male,48,15,7,17,Premium,Annual,133,13,1
15844,28,Male,48,25,1,1,Basic,Monthly,887,19,0
41333,51,Male,60,15,0,16,Standard,Annual,238,3,0
52626,31,Female,1,23,9,26,Basic,Monthly,263,19,1
49554,33,Female,19,7,5,23,Premium,Monthly,393,20,1
22765,35,Female,8,14,9,0,Basic,Quarterly,159,26,0
26110,33,Female,47,17,4,20,Standard,Quarterly,741,26,0
56281,28,Female,10,29,5,29,Standard,Monthly,920,28,1
55552,37,Female,24,17,0,27,Standard,Monthly,561,29,1
40856,61,Male,1,5,10,25,Standard,Quarterly,557,12,1
14230,27,Male,35,4,8,3,Standard,Monthly,701,12,0
11943,51,Male,23,12,6,24,Basic,Annual,838,15,0
50974,55,Male,2,1,4,18,Premium,Monthly,583,13,1
28382,18,Female,13,15,4,29,Premium,Monthly,155,29,1
17200,28,Male,10,16,8,12,Standard,Monthly,101,25,0
39019,22,Male,14,3,4,24,Premium,Quarterly,895,11,0
52849,21,Female,11,28,4,21,Standard,Annual,163,4,1
44025,47,Female,16,19,2,26,Basic,Monthly,842,16,1
58255,38,Male,30,3,5,21,Standard,Quarterly,220,19,1
